@rowCount	1316
jan li moku.	Somebody is eating.	phrase
jan li moli	murder	phrase
jan li seme	personal traits	phrase
jan li suli mute. mani li suli lili.	People are more important than money.	phrase
jan li toki kepeken toki pona lon tomo toki.	People talk in/using Toki Pona in the chat room.	phrase
jan li wile jo e ma.	People want to own land.	phrase
jan lili	small, short, thin or young person, child	phrase
jan lili en jan suli li toki.	The child and the adult are talking.	phrase
jan lili pi jan Ken en jan Lisa li suwi.	Ken and Lisa's baby is sweet.	phrase
jan lili tu wan	3 children	phrase
jan lili li ken ala moku e telo nasa.	Children can't drink beer.	phrase
jan lili li sona ala e ike.	Children are innocent.	phrase
jan lili li wile e telo kili.	Children want fruit juice.	phrase
jan lili sina li suwi.	Your baby is cute.	phrase
jan luka tu	7 people	phrase
jan moli	dead man	phrase
jan nasa	strange, foolish, unconventional or crazy person	phrase
jan nasa utala	fighting fool	phrase
jan ni li sama mi.	That person is like me.	phrase
jan ni li pona lukin	That person is pretty.	phrase
jan olin	significant other, partner	phrase
jan pakala	an injured person, victim, etc.	phrase
jan pali	worker, employee	phrase
jan pi jan unpa mute	promiscuous person	phrase
jan pi kama sona	student	phrase
jan pi ma ante	foreigner	phrase
jan pi ma sama	fellow citizen of same country or land	phrase
jan pi musi sijelo	athlete	phrase
jan pi pana sona	teacher	phrase
jan pi pona pilin	good psychotherapist	phrase
jan pi pona sijelo	good doctor, healer	phrase
jan pi tomo pali	office worker, etc.	phrase
jan pi tomo sama	housemate, roommate	phrase
jan pona	good person, friend, positive person	phrase
jan sama	sister, brother, sibling	phrase
jan seme li meli sina?	Who is your girlfriend/wife?	phrase
jan sewi	God	phrase
jan sona	knowledgeable person, wise person, educated person, academic, specialist	phrase
jan sona li jan nasa.	A wise man is a fool. A genius thinks unconventionally.	phrase
jan sona nanpa	mathematician	phrase
jan sona pilin	psychologist	phrase
jan sona sijelo	doctor, physician	phrase
jan suli	big, tall or fat person, adult	phrase
jan toki	speaker, messenger, person communicating	phrase
jan unpa	sexual partner	phrase
jan utala	soldier	phrase
jan utala ali li nasa.	All soldiers are stupid.	phrase
jan utala ali li nasa	All soldiers are stupid.	phrase
jan utala li seli ala seli e tomo?	Is the warrior burning the house?	phrase
jan utala nasa	stupid soldier	phrase
jan utala nasa mute	many stupid soldiers	phrase
jan utala nasa ni	this stupid soldier	phrase
jan utala pi ma Mewika li ike tawa ma ali.	Soldiers of the USA are bad for the world.	phrase
jan wawa	strong person	phrase
jo ala e selo lon pini palisa	circumcised, cut	phrase
jo e linja mute	to be hairy	phrase
jo e mani mute	to be rich	phrase
jo e pilin pona	to have positive feelings, be mentally healthy	phrase
jo e selo lon pini palisa	uncircumcised, uncut	phrase
jo e sijelo pona	to be (physically) healthy	phrase
jo ijo li ike e jan.	Possession corrupts.	phrase
kala lete	raw fish, sushi	phrase
kalama ala li lon	No sound exists.	phrase
kalama musi en meli li pona tawa mi.	I like music and girls.	phrase
kama jo	get	phrase
kama jo e lupa meli	to get genital reconstruction surgery as a women, i.e. vaginoplasty	phrase
kama jo e palisa mije	to get genital reconstruction surgery as a man, i.e. metoidioplasty, phalloplasty	phrase
kama jo e sinpin lawa meli	to get facial feminization surgery	phrase
kama jo e sinpin mije	to get male chest reconstruction surgery	phrase
kama olin	fall in love with	phrase
kama pona!	Come well! Welcome!	phrase
kasi nasa / kasi sona	hemp	phrase
kasi nasa	intoxicating plant, e.g. marijuana	phrase
kasi pi tenpo pona Kolisu	Chrismas tree	phrase
kasi sona	intoxicating plant used in meditation, e.g. marijuana	phrase
kasi wawa	spice	phrase
ken la jan lili li wile moku e telo.	Maybe the baby is thirsty.	phrase
kepeken e kasi nasa	to smoke pot	phrase
kepeken e utala	to use violence	phrase
kepeken ike e ilo nasa	to abuse drugs	phrase
kepeken lili e ilo nasa	to use drugs in moderation	phrase
kili pi jan Susan	Susan's fruit	phrase
kili li lon poki.	The fruit is in the basket.	phrase
kili li pona tawa mi.	I like fruit.	phrase
kili li tawa anpa poka kasi.	The appel drops not far from the tree.	phrase
kili lili	small vegetable, fruit, e.g. berry, olive	phrase
kili lili kiwen	nut	phrase
kili loje	reddish fruit or vegetable, e.g. tomato	phrase
kili ma	earth vegetable, e.g. potato	phrase
kili mi	my fruit	phrase
kili palisa	long fruit or vegetable, e.g. carrot, banana, cucumber	phrase
kili pi jan Linta li ike.	Linda's fruit is bad.	phrase
kili suwi	(sweet) fruit	phrase
ko (walo) wawa	cocaine	phrase
ko jaki	shit, feces, pooh	phrase
ko jaki lon nena sinpin	boogers	phrase
ko lete li kama	it's snowing	phrase
kon en sewi	weather	phrase
kon sewi li jo e walo	it's cloudy	phrase
kon telo walo	snow, fog	phrase
kule lon palisa luka	nail polish	phrase
kulupu pi toki pona	the Toki Pona community	phrase
kulupu mama	family	phrase
kulupu pi tenpo mun	Month	phrase
kulupu pi tenpo suno luka tu	days of the week	phrase
lape li pona.	Sleep and rest are good.	phrase
lape pona!	Sleep well! Have a good night!	phrase
laso jelo / jelo laso	yellowish blue (green)	phrase
laso jelo	green (yellowish blue)	phrase
laso loje / loje laso	reddish blue (purple	phrase
laso loje	purple (reddish blue)	phrase
laso pimeja	dark blue	phrase
lawa e pilin	to master one's feelings, be composed	phrase
len jan	somebody's clothes	phrase
len pi jan Lisa	Lisa's clothes	phrase
len pi loje en laso	shirt of red and blue	phrase
len lawa	hat, hood, bonnet, headdress	phrase
len li lon poka mi.	The clothes are at my side.	phrase
len luka	gloves, mittens	phrase
len ni li kule seme?	What colour is this article of clothing?	phrase
len noka	shoe, pants	phrase
len pi jan Susan li jaki.	Susan's clothes are dirty.	phrase
len sina li telo ala telo?	Are your clothes wet?	phrase
lete li lon	it's cold	phrase
lete lili li kin lon.	Here is it little cold too.	phrase
linja (lawa)	hair	phrase
linja lawa	hair (of head)	phrase
linja lili oko	eyebrows, eyelashes	phrase
linja sinpin	beard, facial hair	phrase
linja uta	moustache	phrase
lipu toki	paper with written information, document, text, book	phrase
loje jelo	orange (yellowish red)	phrase
loje laso (pimeja)	(dark) blueish red, purple	phrase
loje walo	pink (whitish red)	phrase
lon tenpo pi pali ala	to be taking a sabbatical, break from work	phrase
